gvkey	gvkey_old	conm	tic	cusip	cik	sic	naics	LINKPRIM	LIID	LINKTYPE	LPERMNO	LPERMCO	LINKDT	LINKENDDT	ticker
1004	1004	AAR CORP	AIR	000361105	1750	5080	423860.0	P	01	LU	54594	20000	1972-04-24	E	air
1045	1045	AMERICAN AIRLINES GROUP INC	AAL	02376R102	6201	4512	481111.0	P	04	LC	21020	20010	2013-12-09	E	aal
1045	1045	AMERICAN AIRLINES GROUP INC	AAL	02376R102	6201	4512	481111.0	C	00X	LC	21020	20010	1950-01-01	1962-01-30	aal
1045	1045	AMERICAN AIRLINES GROUP INC	AAL	02376R102	6201	4512	481111.0	P	01	LC	21020	20010	1962-01-31	2012-01-04	aal
1050	1050	CECO ENVIRONMENTAL CORP	CECO	125141101	3197	3564	333413.0	P	01	LC	11499	176	1980-11-28	E	cece
1072	1072	AVX CORP	AVX	002444107	859163	3670	334416.0	C	01	LC	56899	25544	1973-03-30	1990-01-18	
1072	1072	AVX CORP	AVX	002444107	859163	3670	334416.0	C	01	LC	81912	30930	1995-08-15	2020-03-27	
1072	1072	AVX CORP	AVX	002444107	859163	3670	334416.0	C	00X	LC	56899	25544	1973-01-01	1973-03-29	
1075	1075	PINNACLE WEST CAPITAL CORP	PNW	723484101	764622	4911	2211.0	P	01	LU	27991	21409	1962-01-31	E	pnw
1076	1076	PROG HOLDINGS INC	PRG	74319R101	1808834	6141	522220.0	P	01	LC	10517	5674	2010-12-01	E	prg
1076	1076	PROG HOLDINGS INC	PRG	74319R101	1808834	6141	522220.0	P	01	LC	10517	5674	1982-11-04	1992-12-31	prg
1076	1076	PROG HOLDINGS INC	PRG	74319R101	1808834	6141	522220.0	J	02	LC	78049	5674	2010-12-01	2010-12-10	prg
1076	1076	PROG HOLDINGS INC	PRG	74319R101	1808834	6141	522220.0	N	02	LC	78049	5674	1992-11-03	1992-12-31	prg
1076	1076	PROG HOLDINGS INC	PRG	74319R101	1808834	6141	522220.0	P	02	LC	78049	5674	1993-01-01	2010-11-30	prg
1076	1076	PROG HOLDINGS INC	PRG	74319R101	1808834	6141	522220.0	J	01	LC	10517	5674	1993-01-01	2010-11-30	prg
1078	1078	ABBOTT LABORATORIES	ABT	002824100	1800	3845	334510.0	C	00X	LC	20482	20017	1950-01-01	1962-01-30	abt
1078	1078	ABBOTT LABORATORIES	ABT	002824100	1800	3845	334510.0	P	01	LC	20482	20017	1962-01-31	E	abt
1094	1094	ACETO CORP	ACETQ	004446100	2034	5160	424690.0	P	01	LC	10656	37	1972-12-14	2019-10-02	
1104	1104	ACME UNITED CORP	ACU	004816104	2098	3420	332215.0	P	01	LU	60038	370	1972-12-14	E	acu
1117	1117	BK TECHNOLOGIES CORP	BKTI	05587G203	2186	3663	334220.0	P	02	LC	10779	65	1978-10-03	2003-05-07	bkti
1117	1117	BK TECHNOLOGIES CORP	BKTI	05587G203	2186	3663	334220.0	P	02	LC	10779	65	2005-10-14	E	bkti
1119	1119	ADAMS DIVERSIFIED EQUITY FD	ADX	006212104	2230	6726	525990.0	C	00X	LU	10065	20023	1982-01-01	1982-01-28	adx
1119	1119	ADAMS DIVERSIFIED EQUITY FD	ADX	006212104	2230	6726	525990.0	P	01	LU	10065	20023	1982-01-29	E	adx
1161	1161	ADVANCED MICRO DEVICES	AMD	007903107	2488	3674	334413.0	P	01	LU	61241	211	1972-12-14	E	amd
1166	1166	ASM INTERNATIONAL NV	ASMIY	N07045102	351483	3559	333242.0	P	90	LC	11077	374	1981-05-12	2015-08-20	
1186	1186	AGNICO EAGLE MINES LTD	AEM	008474108	2809	1040	212220.0	P	01	LC	78223	26174	1982-11-01	E	aem
1209	1209	AIR PRODUCTS & CHEMICALS INC	APD	009158106	2969	2810	325120.0	P	01	LC	28222	20030	1962-01-31	E	apd
1230	1230	ALASKA AIR GROUP INC	ALK	011659109	766421	4512	481111.0	P	01	LU	28804	20035	1966-01-31	E	alk
1254	1254	MATSON INC	MATX	57686G105	3453	4400	483113.0	P	01	LU	11691	157	1972-12-14	E	matx
1257	1257	ALEXANDER'S INC	ALX	014752109	3499	6798	531120.0	P	01	LU	49330	20041	1969-10-07	E	alx
1263	1263	ALGOMA STEEL GROUP INC	ASTL	015658107	1860805	3312	331110.0	P	07	LC	22182	58827	2021-10-20	E	astl
1263	1263	ALGOMA STEEL GROUP INC	ASTL	015658107	1860805	3312	331110.0	P	07	LC	22182	58827	2021-10-20	E	astlw
1263	1263	ALGOMA STEEL GROUP INC	ASTL	015658107	1860805	3312	331110.0	P	01	LC	81765	28041	1995-07-14	2000-11-30	astl
